Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,Price_in_taka,Location,City_cumilla,City_dhaka,City_gazipur,City_narayanganj-city
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1.0,1.0,1500.0,25000000.0,"Block C, Niketan",False,True,False,False
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4.0,1.0,1410.0,13800000.0,"Vashani Goli, Shantinagar",False,True,False,False
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5.0,1.0,650.0,4000000.0,"Gandaria, Sutrapur",False,True,False,False
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5.0,1.0,1185.0,11000000.0,"Lake Circus Road, Kalabagan",False,True,False,False
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4.0,1.0,1610.0,13100000.0,"Block H, Bashundhara R-A",False,True,False,False
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7.0,1.0,2180.0,17500000.0,"Block J, Bashundhara R-A",False,True,False,False
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,2.0,1.0,3650.0,78000000.0,"Gulshan 2, Gulshan",False,True,False,False
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",3.0,3.0,9.0,1.0,5000.0,110000000.0,"Free School Street, Kathalbagan",False,True,False,False
2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,3.0,1.0,2700.0,55000000.0,"Gulshan 1, Gulshan",False,True,False,False
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2.0,1.0,1175.0,8300000.0,"Baitul Aman Housing Society, Adabor",False,True,False,False
Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1.0,1.0,650.0,3100000.0,"Section 6, Mirpur",False,True,False,False
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1.0,1.0,1331.0,16000000.0,"Sector 4, Uttara",False,True,False,False
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4.0,1.0,900.0,4500000.0,"Nobodoy Housing Society, Mohammadpur",False,True,False,False
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3.0,2.0,2.0,1.0,950.0,6000000.0,"Gulbag, Malibagh",False,True,False,False
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2.0,2.0,6.0,1.0,1230.0,5000000.0,"West Shewrapara, Mirpur",False,True,False,False
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3.0,2.0,7.0,1.0,1150.0,6500000.0,"Middle Monipur, Mirpur",False,True,False,False
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3.0,2.0,7.0,1.0,1150.0,6500000.0,"Middle Monipur, Mirpur",False,True,False,False
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3.0,3.0,7.0,1.0,1150.0,6700000.0,"Manikdi, Cantonment",False,True,False,False
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3.0,3.0,2.0,1.0,1250.0,7600000.0,"East Kazipara, Mirpur",False,True,False,False
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2.0,2.0,2.0,1.0,860.0,4900000.0,"Rupnagar R/A, Mirpur",False,True,False,False
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3.0,2.0,1.0,1.0,1050.0,6200000.0,"West Kazipara, Mirpur",False,True,False,False
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4.0,4.0,10.0,1.0,3355.0,39000000.0,"Sector 4, Uttara",False,True,False,False
Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,5.0,1.0,1375.0,12100000.0,"Section 6, Mirpur",False,True,False,False
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,3.0,3.0,4.0,1.0,21500.0,220000000.0,"Hemayetpur, Savar",False,True,False,False
Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,2.0,1.0,900.0,5000000.0,"Pirerbag, Mirpur",False,True,False,False
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,5.0,1.0,1008.0,4838400.0,"Section 10, Mirpur",False,True,False,False
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,3.0,1.0,1055.0,5300000.0,"Moushair, Dakshin Khan",False,True,False,False
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,5.0,1.0,1800.0,16000000.0,"Block F, Bashundhara R-A",False,True,False,False
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,2.0,1.0,1250.0,5250000.0,"Ahmed Nagar, Mirpur",False,True,False,False
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8.0,4.0,4.0,1.0,2146.0,10500000.0,"Ashulia, Savar",False,True,False,False
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3.0,2.0,9.0,1.0,900.0,2900000.0,"Hemayetpur, Savar",False,True,False,False
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.0,2.0,6.0,1.0,1050.0,3360000.0,"Radio Colony, Savar",False,True,False,False
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3.0,3.0,2.0,1.0,1250.0,11500000.0,"Block C, Bashundhara R-A",False,True,False,False
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3.0,3.0,9.0,1.0,1675.0,9712500.0,"Section 1, Mirpur",False,True,False,False
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3.0,3.0,1.0,1.0,1300.0,7500000.0,"Ahmed Nagar, Mirpur",False,True,False,False
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3.0,4.0,1.0,1.0,2787.0,29000000.0,"Road No 12A, Dhanmondi",False,True,False,False
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4.0,4.0,9.0,1.0,5040.0,54000000.0,"Block C, Bashundhara R-A",False,True,False,False
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3.0,2.0,5.0,1.0,986.0,6200000.0,"Sector 9, Uttara",False,True,False,False
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2.0,2.0,5.0,1.0,920.0,3300000.0,"South Chalabon, Dakshin Khan",False,True,False,False
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3.0,3.0,1.0,1.0,1275.0,8500000.0,"West Agargaon, Agargaon",False,True,False,False
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3.0,3.0,2.0,1.0,2290.0,22500000.0,"Block B, Bashundhara R-A",False,True,False,False
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3.0,3.0,2.0,1.0,1400.0,7800000.0,"Section 12, Mirpur",False,True,False,False
A Reasonable Apartment Is Available For Sale At Mirpur-10,3.0,2.0,4.0,1.0,1075.0,5500000.0,"Section 10, Mirpur",False,True,False,False
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3.0,3.0,1.0,1.0,1300.0,9600000.0,"Sector 5, Uttara",False,True,False,False
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3.0,3.0,2.0,1.0,1135.0,7500000.0,"Ashkona, Dakshin Khan",False,True,False,False
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2.0,2.0,2.0,1.0,855.0,4702500.0,"Section 10, Mirpur",False,True,False,False
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3.0,3.0,2.0,1.0,1425.0,9000000.0,"East Rampura, Rampura",False,True,False,False
